"","CLAY","SILT","SAND","field_name","sample_uuid","TEXCLASS"
"308",36.345,53.985,9.67,"Sweet - Sweet","7d54301b-2c13-439f-ab51-aba6e9866d60","SICL"
"309",4.01,6.32,89.67,"Husteds South","7db66f13-21ed-447c-9e04-94dfba7261af","S"
"310",24.5,58.5,17,"SEED-516-Soybeans","7e0a67ef-daa8-4b3a-98d6-d6337b2054f3","SIL"
"311",26.05,69.95,4,"west field","7eaa7293-cbc1-477f-a0dc-fd07ffc74687","SIL"
"312",23.16,58.94,17.9,"Vandyke","7f46a268-c2c4-4225-800c-75b70eb38ac2","SIL"
"313",17.5733333333333,74.76,7.66666666666667,"21-000128creek","7f4e4866-3071-4e21-a29b-29c543d8e6d0","SIL"
"314",18,77,5,"CrabtreeField3","7fa2c8b8-d603-4c80-a368-ed7087c4e3ae","SIL"
"315",13.77,18.694,67.536,"Richards","8167e550-14f8-4731-a9a6-ccc3bf9cf5b2","SL"
"316",41.954,40.508,17.538,"Greg's","82485c35-af64-45aa-8270-6c0504e9e902","SIC"
"317",27.72,40.76,31.52,"526 clone","827c260f-be2d-41f3-bad9-0e3219df1fe3","CL"
"318",42.459,41.528,16.013,"Armbruster","8292b9d6-0f86-4cf8-932d-f1b55c600572","SIC"
"319",20.9,75.1,4,"Harvestore Hwy","82b3309a-677c-43b3-bbc6-0c5f008056fa","SIL"
"320",25.065,67.135,7.8,"house","83208fb9-a7b1-437d-855f-9500f8852466","SIL"
"321",28.525,69.145,2.33,"cental il college","841fc775-1db5-4b2a-ade7-4cc180dac410","SICL"
"322",33.020202020202,55.1111111111111,11.8686868686869,"marv jacobsons","8460146b-16b6-40ea-bd1c-0b4869653b19","SICL"
"323",27.72,40.76,31.52,"Hamblock South Field","846616d9-ef76-43cd-a49b-2adb310fb9fb","CL"
"324",24.38,68.02,7.6,"house","84f12342-8fe1-4294-8f8c-b28af999068b","SIL"
"325",22.4,41.6,36,"523 clone","85b028b2-30fb-43a0-ba19-09dc348dfa93","L"
